SKU_A,SKU_B,lag,Pearson_r,pair
AE82501,SFGG805PFL,-5,-0.0921,AE82501 ↔ SFGG805PFL
AE82501,SFGG805PFL,-4,-0.1039,AE82501 ↔ SFGG805PFL
AE82501,SFGG805PFL,-3,-0.0157,AE82501 ↔ SFGG805PFL
AE82501,SFGG805PFL,-2,-0.0044,AE82501 ↔ SFGG805PFL
AE82501,SFGG805PFL,-1,-0.1663,AE82501 ↔ SFGG805PFL
AE82501,SFGG805PFL,0,0.9487,AE82501 ↔ SFGG805PFL
AE82501,SFGG805PFL,1,-0.1198,AE82501 ↔ SFGG805PFL
AE82501,SFGG805PFL,2,-0.04,AE82501 ↔ SFGG805PFL
AE82501,SFGG805PFL,3,-0.0581,AE82501 ↔ SFGG805PFL
AE82501,SFGG805PFL,4,-0.2047,AE82501 ↔ SFGG805PFL
AE82501,SFGG805PFL,5,0.1299,AE82501 ↔ SFGG805PFL
AE82501,SFGG805PFL,6,0.0539,AE82501 ↔ SFGG805PFL
ME6632L,ME6632XL,-6,-0.0279,ME6632L ↔ ME6632XL
ME6632L,ME6632XL,-5,0.0833,ME6632L ↔ ME6632XL
ME6632L,ME6632XL,-4,-0.1114,ME6632L ↔ ME6632XL
ME6632L,ME6632XL,-3,0.2607,ME6632L ↔ ME6632XL
ME6632L,ME6632XL,-2,0.5273,ME6632L ↔ ME6632XL
ME6632L,ME6632XL,-1,0.5504,ME6632L ↔ ME6632XL
ME6632L,ME6632XL,0,0.9387,ME6632L ↔ ME6632XL
ME6632L,ME6632XL,1,-0.3968,ME6632L ↔ ME6632XL
ME6632L,ME6632XL,2,-0.0779,ME6632L ↔ ME6632XL
ME6632L,ME6632XL,3,-0.2814,ME6632L ↔ ME6632XL
ME6632L,ME6632XL,4,-0.2228,ME6632L ↔ ME6632XL
ME6632L,ME6632XL,5,0.1121,ME6632L ↔ ME6632XL
ME6632L,ME6632XL,6,-0.068,ME6632L ↔ ME6632XL
ME6632M,UVSVP401,-6,0.1759,ME6632M ↔ UVSVP401
ME6632M,UVSVP401,-5,0.3304,ME6632M ↔ UVSVP401
ME6632M,UVSVP401,-4,0.7174,ME6632M ↔ UVSVP401
ME6632M,UVSVP401,-3,0.4438,ME6632M ↔ UVSVP401
ME6632M,UVSVP401,-2,0.8208,ME6632M ↔ UVSVP401
ME6632M,UVSVP401,-1,-0.0867,ME6632M ↔ UVSVP401
ME6632M,UVSVP401,0,0.936,ME6632M ↔ UVSVP401
ME6632M,UVSVP401,1,0.191,ME6632M ↔ UVSVP401
ME6632M,UVSVP401,2,0.1328,ME6632M ↔ UVSVP401
ME6632M,UVSVP401,3,0.0456,ME6632M ↔ UVSVP401
ME6632M,UVSVP401,4,-0.1389,ME6632M ↔ UVSVP401
ME6632M,UVSVP401,5,-0.0333,ME6632M ↔ UVSVP401
ME6632M,UVSVP401,6,0.2752,ME6632M ↔ UVSVP401
MESX9667L,PIP42-874,-6,0.1703,MESX9667L ↔ PIP42-874
MESX9667L,PIP42-874,-5,0.0422,MESX9667L ↔ PIP42-874
MESX9667L,PIP42-874,-4,-0.0836,MESX9667L ↔ PIP42-874
MESX9667L,PIP42-874,-3,0.059,MESX9667L ↔ PIP42-874
MESX9667L,PIP42-874,-2,-0.0291,MESX9667L ↔ PIP42-874
MESX9667L,PIP42-874,-1,0.2884,MESX9667L ↔ PIP42-874
MESX9667L,PIP42-874,0,0.934,MESX9667L ↔ PIP42-874
MESX9667L,PIP42-874,1,0.2829,MESX9667L ↔ PIP42-874
MESX9667L,PIP42-874,2,0.1317,MESX9667L ↔ PIP42-874
MESX9667L,PIP42-874,3,-0.0205,MESX9667L ↔ PIP42-874
MESX9667L,PIP42-874,4,-0.1366,MESX9667L ↔ PIP42-874
MESX9667L,PIP42-874,5,0.2213,MESX9667L ↔ PIP42-874
MESX9667L,PIP42-874,6,0.13,MESX9667L ↔ PIP42-874
ME6632XL,UVSVP401,-6,-0.0543,ME6632XL ↔ UVSVP401
ME6632XL,UVSVP401,-5,0.4114,ME6632XL ↔ UVSVP401
ME6632XL,UVSVP401,-4,0.6566,ME6632XL ↔ UVSVP401
ME6632XL,UVSVP401,-3,0.3691,ME6632XL ↔ UVSVP401
ME6632XL,UVSVP401,-2,0.9752,ME6632XL ↔ UVSVP401
ME6632XL,UVSVP401,-1,-0.1514,ME6632XL ↔ UVSVP401
ME6632XL,UVSVP401,0,0.9338,ME6632XL ↔ UVSVP401
ME6632XL,UVSVP401,1,0.2237,ME6632XL ↔ UVSVP401
ME6632XL,UVSVP401,2,0.2309,ME6632XL ↔ UVSVP401
ME6632XL,UVSVP401,3,0.1046,ME6632XL ↔ UVSVP401
ME6632XL,UVSVP401,4,-0.1435,ME6632XL ↔ UVSVP401
ME6632XL,UVSVP401,5,0.016,ME6632XL ↔ UVSVP401
ME6632XL,UVSVP401,6,0.1376,ME6632XL ↔ UVSVP401
ME6632L,PIP33-BLK125BPM,-6,-0.0029,ME6632L ↔ PIP33-BLK125BPM
ME6632L,PIP33-BLK125BPM,-5,0.496,ME6632L ↔ PIP33-BLK125BPM
ME6632L,PIP33-BLK125BPM,-4,0.5716,ME6632L ↔ PIP33-BLK125BPM
ME6632L,PIP33-BLK125BPM,-3,0.4147,ME6632L ↔ PIP33-BLK125BPM
ME6632L,PIP33-BLK125BPM,-2,-0.2108,ME6632L ↔ PIP33-BLK125BPM
ME6632L,PIP33-BLK125BPM,-1,-0.3899,ME6632L ↔ PIP33-BLK125BPM
ME6632L,PIP33-BLK125BPM,0,0.9303,ME6632L ↔ PIP33-BLK125BPM
ME6632L,PIP33-BLK125BPM,1,0.4342,ME6632L ↔ PIP33-BLK125BPM
ME6632L,PIP33-BLK125BPM,2,0.0391,ME6632L ↔ PIP33-BLK125BPM
ME6632L,PIP33-BLK125BPM,3,-0.1623,ME6632L ↔ PIP33-BLK125BPM
ME6632L,PIP33-BLK125BPM,4,-0.351,ME6632L ↔ PIP33-BLK125BPM
ME6632L,PIP33-BLK125BPM,5,0.0011,ME6632L ↔ PIP33-BLK125BPM
ME6632L,PIP33-BLK125BPM,6,-0.0608,ME6632L ↔ PIP33-BLK125BPM
GECS826TL,XS3M501,-6,,GECS826TL ↔ XS3M501
GECS826TL,XS3M501,-5,,GECS826TL ↔ XS3M501
GECS826TL,XS3M501,-4,,GECS826TL ↔ XS3M501
GECS826TL,XS3M501,-3,,GECS826TL ↔ XS3M501
GECS826TL,XS3M501,-2,,GECS826TL ↔ XS3M501
GECS826TL,XS3M501,-1,,GECS826TL ↔ XS3M501
GECS826TL,XS3M501,0,0.9252,GECS826TL ↔ XS3M501
GECS826TL,XS3M501,1,-0.0348,GECS826TL ↔ XS3M501
GECS826TL,XS3M501,2,,GECS826TL ↔ XS3M501
GECS826TL,XS3M501,3,,GECS826TL ↔ XS3M501
GECS826TL,XS3M501,4,,GECS826TL ↔ XS3M501
GECS826TL,XS3M501,5,,GECS826TL ↔ XS3M501
GECS826TL,XS3M501,6,,GECS826TL ↔ XS3M501
ME6632XL,PIP33-BLK125BPM,-6,-0.0764,ME6632XL ↔ PIP33-BLK125BPM
ME6632XL,PIP33-BLK125BPM,-5,0.4283,ME6632XL ↔ PIP33-BLK125BPM
ME6632XL,PIP33-BLK125BPM,-4,0.6295,ME6632XL ↔ PIP33-BLK125BPM
ME6632XL,PIP33-BLK125BPM,-3,0.3009,ME6632XL ↔ PIP33-BLK125BPM
ME6632XL,PIP33-BLK125BPM,-2,0.9527,ME6632XL ↔ PIP33-BLK125BPM
ME6632XL,PIP33-BLK125BPM,-1,-0.2297,ME6632XL ↔ PIP33-BLK125BPM
ME6632XL,PIP33-BLK125BPM,0,0.923,ME6632XL ↔ PIP33-BLK125BPM
ME6632XL,PIP33-BLK125BPM,1,0.3706,ME6632XL ↔ PIP33-BLK125BPM
ME6632XL,PIP33-BLK125BPM,2,0.4964,ME6632XL ↔ PIP33-BLK125BPM
ME6632XL,PIP33-BLK125BPM,3,0.3319,ME6632XL ↔ PIP33-BLK125BPM
ME6632XL,PIP33-BLK125BPM,4,-0.1202,ME6632XL ↔ PIP33-BLK125BPM
ME6632XL,PIP33-BLK125BPM,5,0.1513,ME6632XL ↔ PIP33-BLK125BPM
ME6632XL,PIP33-BLK125BPM,6,-0.0693,ME6632XL ↔ PIP33-BLK125BPM
ME6632L,ME6632M,-6,0.1238,ME6632L ↔ ME6632M
ME6632L,ME6632M,-5,0.006,ME6632L ↔ ME6632M
ME6632L,ME6632M,-4,-0.1479,ME6632L ↔ ME6632M
ME6632L,ME6632M,-3,0.1798,ME6632L ↔ ME6632M
